mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation_time,qualifica,3descrizione
2,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,MI,3,0,8,202402,2025-06-18,Unknown,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
2,2024,12,MINISTERO DELL'INTERNO,NO,1,3,2,202402,2025-06-18,Unknown,MINISTERO DELL'INTERNO
11,2024,9,MINISTERO DELLA GIUSTIZIA,CN,10,0,4,202411,2025-06-18,Unknown,MINISTERO DELLA GIUSTIZIA
4,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,GR,8,1,1,202310,2025-06-18,Unknown,MINISTERO DELL'ECONOMIA E FINANZE
8,2023,14,MINISTERO UNIVERSITA' E RICERCA,CZ,17,3,488,202308,2025-06-18,Funzionario,MINISTERO UNIVERSITA' E RICERCA
6,2023,9,MINISTERO DELLA GIUSTIZIA,RG,18,2,2,202305,2025-06-18,Unknown,MINISTERO DELLA GIUSTIZIA
5,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,OR,19,0,1,202405,2025-06-18,Funzionario,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
6,2024,954,ISPETTORATO NAZIONALE DEL LAVORO,MN,3,0,1,202406,2025-06-18,Unknown,ISPETTORATO NAZIONALE DEL LAVORO
8,2023,14,MINISTERO DELLA CULTURA,CA,19,0,4,202308,2025-06-18,Dirigente,MINISTERO DELLA CULTURA
5,2023,9,MINISTERO DELLA GIUSTIZIA,VE,4,7,7,202305,2025-06-18,Unknown,MINISTERO DELLA GIUSTIZIA
12,2024,13,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,BO,7,0,6,202412,2025-06-18,Dirigente,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY
5,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,MS,8,1,1,202305,2025-06-18,Impiegato,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
2,2024,22,AGENZIA DELLE ENTRATE,TP,18,3,1,202402,2025-06-18,Impiegato,AGENZIA DELLE ENTRATE
6,2024,22,AGENZIA DELLE ENTRATE,Unknown,3,31,0,202406,2025-06-18,Unknown,AGENZIA DELLE ENTRATE
7,2024,19,MINISTERO UNIVERSITA' E RICERCA,RM,11,32,4001,202408,2025-06-18,Impiegato,MINISTERO UNIVERSITA' E RICERCA
11,2024,12,Unknown,CZ,17,0,7,202411,2025-06-18,Operatore,MINISTERO DELL'INTERNO
