id,rata,ente,descrizione,cod_tipoimposta,tipo_imposta,cod_imposta,imposta,spesa,aggregation_time,area_geografica
661738e59b1c1417e85d36bc,202403,27,AGENZIA NAZIONALE PER I GIOVANI - ANG,1,Netto,15,Netto,38702.79,2024-11-04,Nord
6667a4b8262bc331bdcd0bb1,202405,6,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,2,Erariali,8,Addizionali Comunali,61477.15,2024-11-06,
659f417b9b1c1468e2e39a2a,,938,ENTE PARCO NAZIONALE DELLA MAJELLA,2,Erariali,7,Addizionali Regionali,277.62,2024-11-01,Isole
66bf604a0377f64b679f282e,202407,959,AUTORITA' DI BACINO DISTRETTUALE DEL FIUME PO,1,Netto,15,Netto,159750.79,2024-08-16,
671a7806e28f8d6b0a19d1f0,202409,834,COMUNE DI MONTORFANO,4,Previdenziali,,Altre voci,164.66,2024-10-24,Isole
671a7806e28f8d6b0a19d1da,202409,957,ORDINE DOTT. COMMERCIALISTI ED ESPERTI CONTABILI DI VERONA,2,Erariali,6,,1405.91,2024-10-24,Sud
6667a4c1262bc331baee7431,202405,963,AUTORITA' DI BACINO DISTRETTUALE DELL'APPENNINO MERIDIONALE,1,Netto,15,Netto,274701.64,2024-11-06,Centro
66bf604a0377f64bd0cd2566,202407,44,MINISTERO DEL TURISMO,1,Netto,15,Netto,286052.04,2024-08-16,Isole
66e0ee65f458af54a5dbc804,202408,43,SCUOLA NAZIONALE DELL'AMMINISTRAZIONE,1,Netto,15,Netto,29274.78,2024-09-11,Centro
671a780de28f8d6b0a19d293,202409,,MINISTERO DELL'INTERNO,1,Netto,15,Netto,315136738.46,2024-10-24,Centro
661738e5262bc367a2350445,202403,963,AUTORITA' DI BACINO DISTRETTUALE DELL'APPENNINO MERIDIONALE,4,Varie,11,Prestiti,4778.42,2024-11-04,Nord
65c81f2cf458af1d35de62a9,,805,AGENZIA NAZIONALE PER LA SICUREZZA DEL VOLO,3,Netto,14,Previdenziali a carico del lavoratore,8882.65,2024-11-02,Isole
671a780de28f8d6b0a19d27d,202409,3,MINISTERO DELLA DIFESA,2,Erariali,6,IRAP,49922941.91,2024-10-24,
