_id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation-time,qualifica,note,fonte_dato,Provincia Sede,CODICE ENTE,3descrizione,regione%sede,att ivazioni
6852caeb205349164be95508,10,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PA,18,1,21,202410,2025-06-18T16:15:20.148346,Dirigente,,,PA,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,18,1
6852cafe79c2715845d944a8,12,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,AL,01,"0,0",1,202409,2025-06-18T16:15:20.148346,Operatore,,,AL,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,01,"0,0"
6852caee205349164be9d772,5,2024,//,AGENZIA DELLE ENTRATE,MT,16,0,1,202405,18/06/2025,Dirigente,,,MT,22,AGENZIA DELLE ENTRATE,16,0
6852cb018d61d50c63e446c8,4,2023,12,MINISTERO DELL'INTERNO, ,19,0,2,202304,2025-06-18T16:15:20.148346,Dirigente,,,CA,12,MINISTERO DELL'INTERNO,19,0
6852caee205349164be9f2db,12,2024,12,MINISTERO DELL'INTERNO,PA,N/A,0,4,202412,2025-06-18T16:15:20.148346,,,,PA,12,MINISTERO DELL'INTERNO,18,0
6852caf4205349164beb104e,1,2024,1,MINISTERO DELL'ECONOMIA E FINANZE,AO,02,1,0,202403,2025-06-18T16:15:20.148346,Impiegato,,,AO,1,MINISTERO DELL'ECONOMIA E FINANZE,02,1
6852caef205349164bea0539,2,2024,12,MINISTERO DELL'INTERNO,NU,19,2,0,202407,2025-06-18T16:15:20.148346,Dirigente,,,NU,12,MINISTERO DELL'INTERNO,19,2
6852caf4205349164beb1a40,10,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,TE,12,300,3,10/2023,2025-06-18T16:15:20.148346,Funzionario,,Sistema legacy,TE,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,12,300
6852caf5205349164beb601d,7,2024,954,ISPETTORATO NAZIONALE DEL LAVORO,TA,15,2,0,202407,2025-06-18T16:15:20.148346,Funzionario,,,TA,954,ISPETTORATO NAZIONALE DEL LAVORO,15,2
6852caf2205349164beaa108,2,2023,-,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,PI,08,0,2,202302,2025-06-18T16:15:20.148346,Dirigente,,,PI,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,08,0
6852caf3205349164beb0057,3,2024,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,TE,12,0,2,202403,2025-06-18T16:15:20.148346,Dirigente,,,TE,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,12,0
6852caf2205349164beaaf28,6,2023,21,AGENZIA DELLE DOGANE,PI,08,0,1,202306,2025-06-18T16:15:20.148346,Operatore,,,PI,21,AGENZIA DELLE DOGANE,08,0
6852caf1205349164bea871e,5,2023,22,AGENZIA DELLE ENTRATE,CR,03,4,0,202305,2025-06-18T16:15:20.148346,Operatore,,,CR,22,AGENZIA DELLE ENTRATE,03,4
6852caf2205349164beac371,9,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,CB,13,0,"1,0",202309,18/06/2025,Funzionario,,,CB,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,13,0
6852caf5205349164beb3e5b,11,2024,19,MINISTERO UNIVERSITA' E RICERCA,GE,06,4,4,202403,18.06.2025,,,,GE,19,MINISTERO UNIVERSITA' E RICERCA,06,4
6852caef205349164bea35fa,4,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,PN,05,1,"0,0",202304,2025-06-18T16:15:20.148346,Impiegato,,,PN,1,MINISTERO DELL'ECONOMIA E FINANZE,05,1
